PARENT_COMPANY|STANDARD_COMPANY_NAME
Energy XXI GOM, LLC|ENERGY XXI
Enerplus Resources Corporation|ENERPLUS RESOURCES
Enervest Management Partners, Ltd.|ENERVEST OPERATING
Enervest Operating, L.L.C.|ENERVEST OPERATING
Enervest Operating, LLC|ENERVEST OPERATING
Enervest Operating, LLC.|ENERVEST OPERATING, LLC
Eni Petroleum Co. Inc.|ENI PETROLEUM
Eni Petroleum US LLC|ENI PETROLEUM
Eni US Operting Company Incorporated|ENI PETROLEUM
Enterprise Field Services, LLC|ENTERPRISE PRODUCTS PARTNERS
Enterprise Gas Processing|ENTERPRISE PRODUCTS PARTNERS
Enterprise Gas Processing, LLC|ENTERPRISE PRODUCTS PARTNERS
Enterprise Hydrocarbons, L.P.|ENTERPRISE PRODUCTS PARTNERS
Enterprise Hydrocarbons, LP|ENTERPRISE PRODUCTS PARTNERS
Enterprise Products LLC|ENTERPRISE PRODUCTS PARTNERS
Enterprise Products Operating LLC|ENTERPRISE PRODUCTS PARTNERS
Enterprise Products Operating, LLC|ENTERPRISE PRODUCTS PARTNERS
Equal Energy|EQUAL ENERGY
Equinor Gulf of Mexico LLC|EQUINOR US HOLDINGS
Equinor US Holdings Inc|EQUINOR US HOLDINGS
Equitrans Midstream|EQUITRANS MIDSTREAM
Ergon, Inc|ERGON
Escambia Asset Co. LLC|ESCAMBIA ASSET CO
Evergreen Enterprise Holdings LLC|EVERGREEN ENTERPRISE HOLDINGS
Evergreen Enterprise Holdings LLC, a Georgia LLC|EVERGREEN ENTERPRISE HOLDINGS
Exelon Corp|EXELON
Extraction Oil & Gas Inc|EXTRACTION OIL & GAS
Extraction Oil & Gas, LLC|EXTRACTION OIL & GAS
Exxon Mobil Corporation|EXXONMOBIL
Exxon Mobil Production Company|EXXONMOBIL
Exxon Mobile Corporation|EXXONMOBIL
Exxon Mobile Production Company|EXXONMOBIL
ExxonMobil|EXXONMOBIL
ExxonMobil Corporation|EXXONMOBIL
ExxonMobil Production|EXXONMOBIL
FAIRWAY RESOURCES LLC|FAIRWAY RESOURCES
FASKEN OIL & RANCH LTD|FASKEN OIL AND RANCH
FASKEN OIL AND RANCH, LTD|FASKEN OIL AND RANCH
FDL OPERATING LLC|FDL OPERATING
FDL OPERATING, LLC|FDL OPERATING
FIELDWOOD ENERGY LLC|FIELDWOOD ENERGY
FIML Natural Resources, LLC|FIML NATURAL RESOURCES
FL Rich Gas Services LP|FL RICH GAS SERVICES
FLORIDA GAS TRANSMISSION CO|FLORIDA GAS TRANSMISSION
FORMOSA PLASTICS CORP USA|FORMOSA PLASTICS CORP USA
FOUNDATION ENERGY CO|FOUNDATION ENERGY
FOUR WINDS MIDSTREAM LLC|FOUR WINDS MIDSTREAM
FOURPOINT ENERGY LLC|FOURPOINT ENERGY
FPL GROUP INC|FPL GROUP
FREEPORT LNG DEVELOPMENT LP|FREEPORT LNG DEVELOPMENT
FREEPORT LNG DEVELOPMENT, LP|FREEPORT LNG DEVELOPMENT
FREEPORT MCMORAN COPPER & GOLD|FREEPORT-MCMORAN
FREEPORT-MCMORAN INC|FREEPORT-MCMORAN
FREEPORT-MCMORAN OIL AND GAS, LLC|FREEPORT-MCMORAN
Famcor Oil, Inc.|FAMCOR OIL
Felix Energy, LLC|FELIX ENERGY
Fieldwood Energy, LLC|FIELDWOOD ENERGY
Flywheel Energy|FLYWHEEL ENERGY
Forest Oil Corporation|FOREST OIL
Formosa Hydrocarbons Company, Inc.|FORMOSA PLASTICS CORP USA
Foundation Energy Company|FOUNDATION ENERGY
FourPoint Energy, LLC|FOURPOINT ENERGY
Freeport-McMoRan Oil & Gas LLC|FREEPORT-MCMORAN
Freeport-McMoRan Oil & Gas, LLC|FREEPORT-MCMORAN
Fuels Acquisition Company|FUELS ACQUISITION
GALESI GROUP|GALESI GROUP
GAS TRANSMISSION SERVICE CO LLC|GAS TRANSMISSION SERVICES COMPANY
GDF SUEZ Energy NA Inc|GDF SUEZ ENERGY NA
GDF SUEZ North America|GDF SUEZ ENERGY NA
GE Energy Financial Services|GENERAL ELECTRIC
GENERAL ELECTRIC CO|GENERAL ELECTRIC
GENESIS ENERGY LP|GENESIS ENERGY
GEO R BROWN PARTNERSHIP LP|GEO R BROWN PARTNERSHIP
GEO R BROWN PTNR LP|GEO R BROWN PARTNERSHIP
GEOSOUTHERN ENERGY CORP|GEOSOUTHERN ENERGY
GIP-B1 MASTER PTNR LP|GIP-B1 MASTER PTNR
GIP-B1 MASTER PTNR LP & GIP-C HOLDING PTNR LP & GLOBAL INFRASTRUCTURE PTNR-A LP|GIP-B1 MASTER PTNR
GIP-B1 MASTER PTNR LP, GIP-C HOLDING PTNR LP, GLOBAL INFRASTRUCTURE PTNR-A LP|GIP-B1 MASTER PTNR
GOLDEN PASS LNG TERMINAL INVESTMENTS LLC|GOLDEN PASS LNG TERMINAL INVESTMENTS
GOODRICH PETROLEUM CO|GOODRICH PETROLEUM
GOODRICH PETROLEUM COMPANY|GOODRICH PETROLEUM
GOODRICH PETROLEUM CORP|GOODRICH PETROLEUM
GOODRICH PETROLEUM CORPORATION|GOODRICH PETROLEUM
GREAT LAKES GAS TRANSMISSION LP|GREAT LAKES GAS TRANSMISSION
GULF PINE ENERGY OPERATING LLC|GULF PINE ENERGY OPERATING
GULFPORT ENERGY CORP|GULFPORT ENERGY
GULFTEX ENERGY III LP|GULFTEX ENERGY III
Galesi Group|GALESI GROUP
Gas Tranmission Service CO LLC|GAS TRANSMISSION SERVICES COMPANY
Gas Transmission Northwest LLC|GAS TRANSMISSION SERVICES COMPANY
Gas Transmission Services Company LLC|GAS TRANSMISSION SERVICES COMPANY
Gasco Energy, Inc.|GASCO ENERGY
Geosouthern Energy Corporation|GEOSOUTHERN ENERGY
Global Infrastructure Partners - A|GLOBAL INFRASTRUCTURE PARTNERS - A
Grade 6 Oil|GRADE 6 OIL
Great Lakes Gas Transmission CO|GREAT LAKES GAS TRANSMISSION
Great Lakes Gas Transmission Company|GREAT LAKES GAS TRANSMISSION
Gulf Pine Energy Operating, LLC|GULF PINE ENERGY OPERATING
GulfTex Energy III, LP|GULFTEX ENERGY III
Gulfport Energy Corporation|GULFPORT ENERGY
HALCON RESOURCES CORP|HALCON RESOURCES
HARVEST ENERGY INC|HARVEST ENERGY
HARVEST PIPELINE CO|HARVEST PIPELINE
HAWKWOOD ENERGY MANAGEMENT LLC 220|HAWKWOOD ENERGY MANAGEMENT LLC 220
HELIS OIL & GAS LLC|HELIS OIL AND GAS COMPANY
HENRY RESOURCES LLC|HENRY RESOURCES
HESS CORP|HESS
HESS CORPORATION|HESS
HG Energy II Appalachia, LLC|HG ENERGY II APPALACHIA
HILCORP ENERGY CO|HILCORP ENERGY
HILCORP ENERGY COMPANY|HILCORP ENERGY
HINKLE OIL & GAS INC|HINKLE OIL & GAS
HOLMES WESTERN OIL CORP|HOLMES WESTERN OIL
HOWARD ENERGY PARTNERS|HOWARD ENERGY PARTNERS
HOWARD MIDSTREAM ENERGY PARTNERS LLC|HOWARD ENERGY PARTNERS
HUNT CONSOLIDATED INC|HUNT CONSOLIDATED
HUNT CONSOLIDATED, INC|HUNT CONSOLIDATED
HUNTINGTON ENERGY LLC|HUNTINGTON ENERGY
Halcon Resources Corporation|HALCON RESOURCES
Harvest Energy, Inc|HARVEST ENERGY
Harvest Energy, Inc.|HARVEST ENERGY
Hawkwood Energy Management, LLC 220|HAWKWOOD ENERGY MANAGEMENT, LLC 220
Helis Oil & Gas, LLC|HELIS OIL AND GAS COMPANY
Helis Oil and Gas Company, L.L.C.|HELIS OIL AND GAS COMPANY
Helis Oil and Gas Company, LLC|HELIS OIL AND GAS COMPANY
Henry Resources LLC|HENRY RESOURCES
Hess Corporation|HESS
HighPoint Resources Corp|HIGHPOINT RESOURCES
Hiland Partners LP|HILAND PARTNERS
Hilcorp Alaska LLC|HILCORP ENERGY
Hilcorp Alaska, LLC|HILCORP ENERGY
Hilcorp Energy Company|HILCORP ENERGY
Holmes Western Oil Corp|HOLMES WESTERN OIL
Hoover Energy Partners LP|HOOVER ENERGY PARTNERS
Hunt Oil Company|HUNT CONSOLIDATED
Huntington Energy, L.L.C|HUNTINGTON ENERGY
IACX ENERGY LLC|IACX ENERGY
INDIGO MINERALS LLC|INDIGO MINERALS
INTEGRYS ENERGY GROUP INC|INTEGRYS ENERGY GROUP
IPR-GDF Suez North America|IPR-GDF SUEZ NORTH AMERICA
IROQUOIS GAS TRANSMISSION SYSTEM LP|IROQUOIS GAS TRANSMISSION SYSTEM
IROQUOIS GAS TRANSMISSION SYSTEM, LP|IROQUOIS GAS TRANSMISSION SYSTEM
Indigo Minerals, LLC|INDIGO MINERALS
Indigo Resources LLC|INDIGO MINERALS
Inergy West Coast LLC|INERGY WEST COAST
Integrys Energy Group Inc|INTEGRYS ENERGY GROUP
J CLEO THOMPSON & JAMES CLEO THOMPSON JR L P|J CLEO THOMPSON & JAMES CLEO THOMPSON JR
J CLEO THOMPSON & JAMES CLEO THOMPSON JR LP|J CLEO THOMPSON & JAMES CLEO THOMPSON JR
J-W Operating Company|J-W OPERATING
J. Cleo Thompson & James Cleo Thompson, Jr. L.P.|J CLEO THOMPSON & JAMES CLEO THOMPSON JR
JAGGED PEAK ENERGY LLC|JAGGED PEAK ENERGY
JAMES LAKE MIDSTREAM LLC|JAMES LAKE MIDSTREAM
JAMES LAKE MIDSTREAM, LLC|JAMES LAKE MIDSTREAM
JAY-BEE OIL & GAS LLC|JAY-BEE OIL & GAS
JAYNE WRIGHTSMAN CO|JAYNE WRIGHTSMAN
JKLM ENERGY LLC|JKLM ENERGY
JMA ENERGY CO LLC|JMA ENERGY COMPANY
JMA Energy Company LLC|JMA ENERGY COMPANY
JOHNSON & LINDLEY INC|JOHNSON AND LINDLEY
JOHNSON AND LINDLEY, INC|JOHNSON AND LINDLEY
JOHNSON LINDLEY, INC|JOHNSON AND LINDLEY
JONAH ENERGY HOLDINGS LLC|JONAH ENERGY HOLDINGS
JONES ENERGY HOLDINGS LLC|JONES ENERGY HOLDINGS
JORDAN DEVELOPMENT CORP LLC|JORDAN DEVELOPMENT CORP
Jagged Peak Energy LLC|JAGGED PEAK ENERGY
Jayne Wrightsman Company|JAYNE WRIGHTSMAN
Jonah Energy Holdings LLC|JONAH ENERGY HOLDINGS
Jones Energy Holdings, LLC|JONES ENERGY HOLDINGS
Jordan Development Corporation, LLC|JORDAN DEVELOPMENT CORP
KAISER-FRANCIS OIL CO|KAISER-FRANCIS OIL
KASH OIL & GAS - BASIN 220|KASH OIL & GAS - BASIN 220
KERR MCGEE GATHERING, LLC|KERR MCGEE GATHERING
KINDER MORGAN|KINDER MORGAN
KINDER MORGAN ENERGY PTNR LP|KINDER MORGAN
KINDER MORGAN INC|KINDER MORGAN
KINDER MORGAN OPERATING LP|KINDER MORGAN
KINDER MORGAN SNG OPERATOR LLC|KINDER MORGAN
KINETICA PARTNERS LLC|KINETICA PARTNERS
KINGFISHER MIDSTREAM LLC|KINGFISHER MIDSTREAM
KKR & Co|KKR
KOCH INDUSTRIES INC|KOCH INDUSTRIES
KREWE ENERGY LLC|KREWE ENERGY
Kaiser-Francis Oil Company|KAISER-FRANCIS OIL
Kash Oil & GAS - Basin 220|KASH OIL & GAS - BASIN 220
Key Production Co.|KEY PRODUCTION
Kinder Morgan|KINDER MORGAN
Kinder Morgan Energy Partners|KINDER MORGAN
Kinder Morgan Energy Partners L.P.|KINDER MORGAN
Kinder Morgan Energy Partners, L..P.|KINDER MORGAN
Kinder Morgan Energy Partners, L.P|KINDER MORGAN
Kinder Morgan Energy Partners, L.P.|KINDER MORGAN
Kinder Morgan Energy Partners, LP|KINDER MORGAN
Kinder Morgan Energy Partners. L.P.|KINDER MORGAN
Kinder Morgan Engergy Partners, L.P.|KINDER MORGAN
Kinder Morgan Operating Limited Partnership|KINDER MORGAN
Kinder Morgan SNG Operator LLC|KINDER MORGAN
Kinder Morgan SNG Operator LLC, a Delaware LLC|KINDER MORGAN
Kinder Morgan W2E Pipeline LLC|KINDER MORGAN
Kinder Morgan, Inc.|KINDER MORGAN
Kinder Morgen Energy Partners, L.P.|KINDER MORGAN
Kinder Morgn Energy Partners L.P.|KINDER MORGAN
Kinder Morgn Energy Partners, L.P.|KINDER MORGAN
Kinetica Partners LLC|KINETICA PARTNERS
Kingfisher Midstream, LLC|KINGFISHER MIDSTREAM
Koch Exploration Company, LLC|KOCH INDUSTRIES
Kodiak Oil& Gas Corp.|KODIAK OIL& GAS
Kraken Oil & Gas II, LLC|KRAKEN OIL & GAS
Kraken Oil & Gas, LLC|KRAKEN OIL & GAS
LAMBDA ENERGY RESOURCES, LLC|LAMBDA ENERGY RESOURCES
LANDRETH CO STOCKHOLDERS|LANDRETH COMPANY STOCKHOLDERS
LARAMIE ENERGY II LLC|LARAMIE ENERGY
LARAMIE ENERGY LLC|LARAMIE ENERGY
LAREDO ENERGY LLC|LAREDO PETROLEUM
LAREDO PETROLEUM|LAREDO PETROLEUM
LEED PETROLEUM LLC|LEED PETROLEUM
LEGACY RESERVES OPERATING LP|LEGACY RESERVES OPERATING
LEGEND NATURAL GAS LLC|LEGEND NATURAL GAS
LEWIS ENERGY GROUP LP|LEWIS ENERGY GROUP
LIBERTY RESOURCES LLC|LIBERTY RESOURCES
LIME ROCK RESOURCES|LIME ROCK RESOURCES
LIME ROCK RESOURCES IV-A LP|LIME ROCK RESOURCES
LINN ENERGY|LINN ENERGY
LINN ENERGY, INC|LINN ENERGY
LINN ENERGY, LLC|LINN ENERGY
LIQUEFIED NATURAL GAS LTD|LIQUEFIED NATURAL GAS
LLOG EXPLORATION OFFSHORE LLC|LLOG EXPLORATION OFFSHORE
LLOG Exploration Offshore, L.L.C.|LLOG EXPLORATION OFFSHORE
LLOG Exploration Offshore, LLC|LLOG EXPLORATION OFFSHORE
LOEWS CORP|LOEWS
LOGOS RESOURCES II LLC|LOGOS RESOURCES II
LOGOS Resources II LLC|LOGOS RESOURCES II
LONESTAR RESOURCES LTD|LONESTAR RESOURCES
LONGFELLOW ENERGY LP|LONGFELLOW ENERGY
LOUIS DREYFUS CORP INC|LOUIS DREYFUS CORP
LP 224 LLC|LP 224
LUCID ENERGY DELAWARE|LUCID ENERGY DELAWARE
LUCID ENERGY WESTEX LLC|LUCID ENERGY WESTEX
LUFF EXPLORATION CO|LUFF EXPLORATION
LYDA HUNT BUNKER TRUST-MARY MORELAND HUNT|LYDA HUNT BUNKER TRUST-MARY MORELAND HUNT
Landreth Company Stockholders|LANDRETH COMPANY STOCKHOLDERS
Laramie Energy II, LLC|LARAMIE ENERGY
Laredo Energy LLC|LAREDO PETROLEUM
Laredo Petroleum|LAREDO PETROLEUM
Le Norman Operating LLC|LE NORMAN OPERATING
Leed Petroleum LLC|LEED PETROLEUM
Legacy Reserves Operating LP|LEGACY RESERVES OPERATING
Legend Natural Gas, LLC|LEGEND NATURAL GAS
Lewis Energy Group, L.P.|LEWIS ENERGY GROUP
Liberty Resources LLC|LIBERTY RESOURCES
Lime Rock Resources|LIME ROCK RESOURCES
Lime Rock Resources III-A, LP|LIME ROCK RESOURCES
Linn Energy, LLC|LINN ENERGY
Lucid Energy Delaware|LUCID ENERGY DELAWARE
Lucid Energy WesTex, LLC|LUCID ENERGY WESTEX
Luff Exploration Company|LUFF EXPLORATION
M3 OHIO GATHERING LLC|M3 OHIO GATHERING
M3 Ohio Gathering LLC|M3 OHIO GATHERING
MACPHERSON OIL CO|MACPHERSON OIL
MACQUARIE INFRASTRUCTURE AND REAL ASSETS|MACQUARIE INFRASTRUCTURE CO
MACQUARIE INFRASTRUCTURE CO LLC|MACQUARIE INFRASTRUCTURE CO
MAERSK OIL GULF OF MEXICO FOUR LLC|MAERSK OIL GULF OF MEXICO FOUR
MARATHON OIL CO|MARATHON OIL
MARATHON OIL COMPANY|MARATHON OIL
MARATHON PETROLEUM CO LP|MARATHON OIL
MARKWEST ENERGY PARTNERS LP|MARKWEST ENERGY PARTNERS
MARKWEST ENERGY PARTNERS, LP|MARKWEST ENERGY PARTNERS
MARLIN MIDSTREAM, LLC|MARLIN MIDSTREAM
MARSH OIL & GAS COMPANY|MARSH OIL & GAS
MARUBENI INTERNATIONAL|MARUBENI INTERNATIONAL
MARUBENI POWER AMERICA INC|MARUBENI INTERNATIONAL
MATADOR PRODUCTION CO|MATADOR PRODUCTION
MAVERICK NATURAL RESOURCES, LLC|MAVERICK NATURAL RESOURCES
MCELVAIN ENERGY INC|MCELVAIN ENERGY
MDU RESOURCES GROUP INC|MDU RESOURCES GROUP
MDU Resources Group Inc|MDU RESOURCES GROUP
MEDUSA SPAR LLC|MEDUSA SPAR
MEMORIAL PRODUCTION PARTNERS LLC|MEMORIAL RESOURCE DEVELOPMENT
MEMORIAL RESOURCE DEVELOPMENT LLC|MEMORIAL RESOURCE DEVELOPMENT
MERIT ENERGY CO|MERIT ENERGY
MERIT ENERGY CO LLC|MERIT ENERGY
MERIT ENERGY CO, LLC|MERIT ENERGY
MERIT ENERGY PARTNERS|MERIT ENERGY
MID-AMERICAN ENERGY HOLDINGS CO|MID-AMERICAN ENERGY HOLDINGS
MIDCOAST ENERGY LLC|MIDCOAST ENERGY
MIDDLE FORK ENERGY PARTNERS LLC|MIDDLE FORK ENERGY PARTNERS
MIDLAND OIL AND GAS, INC|MIDLAND OIL AND GAS
MIDSTATES PETROLEUM CO LLC|MIDSTATES PETROLEUM COMPANY
MIDSTATES PETROLEUM COMPANY, LLC|MIDSTATES PETROLEUM COMPANY
MIDSTREAM ENERGY PARTNERS USA LLC|MIDSTREAM ENERGY PARTNERS USA
MISSOURI RIVER RESOURCES|MISSOURI RIVER RESOURCES
MLCJR LLC|MLCJR
MMGJ COLORADO LLC|MMGJ COLORADO
MOBIL PRODUCING TEXAS & NEW MEXICO|MOBIL PRODUCING TEXAS & NEW MEXICO
MONARCH NATURAL GAS LLC|MONARCH NATURAL GAS
MONCRIEF PARTNERS LP|MONCRIEF PARTNERS
MOON HINES TIGRETT OPERATING CO LLC|MOON HINES TIGRETT OPERATING COMPANY
MORGAN STANLEY|MORGAN STANLEY
MORGAN STANLEY IP Southern Star LLC|MORGAN STANLEY
MOUNTAINEER GAS HOLDINGS LP|MOUNTAINEER GAS HOLDINGS
MOUNTAINEER KEYSTONE LLC|MOUNTAINEER KEYSTONE
MP GULF OF MEXICO LLC|MP GULF OF MEXICO
MPLX LP|MPLX
MUNICIPAL LIGHT & POWER|MUNICIPAL LIGHT & POWER
MUREX PETROLEUM CORP|MUREX PETROLEUM
MURPHY EXPLORATION (ALASKA), INC|MURPHY OIL
MURPHY OIL CORP|MURPHY OIL
MURPHY OIL USA INC|MURPHY OIL
MUSKEGON DEVELOPMENT CO|MUSKEGON DEVELOPMENT
MUSTANG FUEL CORP|MUSTANG FUEL
Magnolia Oil & Gas Operating LLC|MAGNOLIA OIL & GAS OPERATING
Magnum Hunter Resources Corporation|MAGNUM HUNTER RESOURCES
Manager Global Market Development, Gas and Power Mar|MANAGER GLOBAL MARKET DEVELOPMENT, GAS AND POWER MAR
Manti Exploration Operating, LLC|MANTI EXPLORATION OPERATING
Marathon Alaska Production, LLC|MARATHON OIL
Marathon Oil Company|MARATHON OIL
Maritimes & Northeast Pipeline, LLC|MARITIMES & NORTHEAST PIPELINE
MarkWest Energy Partners, LP|MARKWEST ENERGY PARTNERS
Marlin Midstream, LLC|MARLIN MIDSTREAM
Marubeni Oil & Gas USA LLC|MARUBENI INTERNATIONAL
Matador Production Company|MATADOR PRODUCTION
Maverick Natural Resources, LLC|MAVERICK NATURAL RESOURCES
McElvain Energy Inc|MCELVAIN ENERGY
Medallion Midstream 2 LLC|MEDALLION MIDSTREAM 2
Medusa Spar LLC|MEDUSA SPAR
Memorial Production Operating, LLC|MEMORIAL RESOURCE DEVELOPMENT
Memorial Resource Development LLC|MEMORIAL RESOURCE DEVELOPMENT
Micoast Energy LLC|MICOAST ENERGY
MidMar Gas LLC|MIDMAR GAS
Midstates Petroleum Company, LLC|MIDSTATES PETROLEUM COMPANY
Milagro Exploration, LLC|MILAGRO EXPLORATION
Mission Creek OpCo LLC|MISSION CREEK OPCO
Mobile Producing Texas & New Mexico Inc|MOBIL PRODUCING TEXAS & NEW MEXICO
Monarch Natural Gas, LLC|MONARCH NATURAL GAS
Moncrief Partners, L.P.|MONCRIEF PARTNERS
Moon Hines Tigrett Operating Company, LLC|MOON HINES TIGRETT OPERATING COMPANY
Morgan Stanley IP  Southern Star LLC|MORGAN STANLEY
Morgan Stanley IP Southern Star LLC|MORGAN STANLEY
Mountaineer Keystone, LLC|MOUNTAINEER KEYSTONE
Municipal Light & Power|MUNICIPAL LIGHT & POWER
Murex Petroleum Corporation|MUREX PETROLEUM
Murphy Oil Corporation|MURPHY OIL
Muskegon Development Company|MUSKEGON DEVELOPMENT
NADEL & GUSSMAN LLC|NADEL & GUSSMAN
NAFTEX OPERATING CO|NAFTEX OPERATING
NATIONAL FUEL GAS CO|NATIONAL FUEL GAS
NATIONAL GRID USA|NATIONAL GRID USA
NATURAL GAS PARTNERS|NATURAL GAS PARTNERS
NAVITAS MIDSTREAM|NAVITAS MIDSTREAM
NBL MIDSTREAM HOLDINGS LLC|NBL MIDSTREAM HOLDINGS
NBL Midstream Holdings LLC|NBL MIDSTREAM HOLDINGS
NEWARK E&P OPERATING LLC|NEWARK E&P OPERATING
NEWARK E&P OPERATING, LLC|NEWARK E&P OPERATING
NEWFIELD EXPLORATION CO|NEWFIELD EXPLORATION
NEXTERA ENERGY INC|NEXTERA ENERGY RESOURCES
NEXTERA ENERGY RESOURCES|NEXTERA ENERGY RESOURCES
NFR Energy LLC|NFR ENERGY
NGL VENTURES LLC|NGL VENTURES
NGL Ventures LLC|NGL VENTURES
NHIP II Bison Holdings, LLC|NHIP II BISON HOLDINGS
NINE POINT ENERGY HOLDINGS INC|NINE POINT ENERGY HOLDINGS
NISKA GAS STORAGE|NISKA GAS STORAGE
NISOURCE INC|NISOURCE
NOBLE ENERGY INC|NOBLE ENERGY
NON-EXXONMOBIL CORP|NON-EXXONMOBIL INTERESTS
NORTEX MIDSTREAM PARTNERS LLC|NORTEX MIDSTREAM PARTNERS
NORTHEAST NATURAL ENERGY LLC|NORTHEAST NATURAL ENERGY
NORTHERN BORDER PIPELINE CO|NORTHERN BORDER PIPELINE
NORTHERN COLORADO OIL & GAS HOLDINGS LLC|NORTHERN COLORADO OIL & GAS HOLDINGS
NORTHERN NATURAL GAS CO|NORTHERN NATURAL GAS
NORTHERN NEW ENGLAND ENERGY CORP|NORTHERN NEW ENGLAND ENERGY
NORTHWESTERN ENERGY CORP|NORTHWESTERN ENERGY
Nadel & Gussman, LLC|NADEL & GUSSMAN
Nadel and Gussman HEYCO, LLC|NADEL & GUSSMAN
Nadel and Gussman, LLC|NADEL & GUSSMAN
Naftex Operating Company|NAFTEX OPERATING
National Grid Holdings Inc|NATIONAL GRID USA
Navajo Nation Oil and Gas|NAVAJO NATION OIL AND GAS
Navitas Midstream Midland Basin LLC|NAVITAS MIDSTREAM
Newfield Exploration Co|NEWFIELD EXPLORATION
Newfield Exploration Company|NEWFIELD EXPLORATION
Nine Point Energy Holdings, Inc|NINE POINT ENERGY HOLDINGS
Niska Gas Storage|NISKA GAS STORAGE
Niska Gas Storage Partners|NISKA GAS STORAGE
Niska Gas Storage Partners LP|NISKA GAS STORAGE
Noble Energy Inc.|NOBLE ENERGY
Noble Energy, INCORPORATED|NOBLE ENERGY
Noble Energy, Inc|NOBLE ENERGY
Noble Midstream Services|NOBLE MIDSTREAM SERVICES
Non-ExxonMobil Interests|NON-EXXONMOBIL INTERESTS
NorTex Midstream Partners, LLC|NORTEX MIDSTREAM PARTNERS
North Baja Pipeline, LLC|NORTH BAJA PIPELINE
North Shore E&P|NORTH SHORE E&P
Northeast Natural Energy LLC|NORTHEAST NATURAL ENERGY
Northern Border Pipeline Co|NORTHERN BORDER PIPELINE
Northern Colorado Oil & Gas Holdings, LLC|NORTHERN COLORADO OIL & GAS HOLDINGS
Northern Natural Gas Company|NORTHERN NATURAL GAS
Northern Pipeline Border Co|NORTHERN PIPELINE BORDER
Northwoods Energy LLC|NORTHWOODS ENERGY
Nuevo Midstream, LLC|NUEVO MIDSTREAM
OAK RIDGE NATURAL RESOURCES LLC|OAK RIDGE NATURAL RESOURCES
OAK VALLEY OPERATING LLC|OAK VALLEY OPERATING
OASIS PETROLEUM|OASIS PETROLEUM
OCCIDENTAL PERMIAN LTD|OCCIDENTAL PETROLEUM
OCCIDENTAL PETROLEUM CORP|OCCIDENTAL PETROLEUM
OLDHAM FAMILY LLC|OLDHAM FAMILY
OMIMEX|OMIMEX
ONEOK INC|ONEOK
ONEOK PARTNERS LP|ONEOK
ONEOK Partners, L.P.|ONEOK
ONEOK Partnership, L.P.|ONEOK
ORX RESOURCES LLC|ORX RESOURCES
OXY Y-1 / RIO DE VIENTO INC|OXY
Oak Ridge Natural Resources, LLC|OAK RIDGE NATURAL RESOURCES
Oasis Petroleum|OASIS PETROLEUM
Occidental Permian LTD|OCCIDENTAL PETROLEUM
Occidental Petroleum Corp|OCCIDENTAL PETROLEUM
Occidental Petroleum Corporation|OCCIDENTAL PETROLEUM
Occidential Petroleum Corporation|OCCIDENTIAL PETROLEUM
Oldham Family LLC|OLDHAM FAMILY
Own Resources Operating LLC|OWN RESOURCES OPERATING
Oxy|OXY
Oxy Y-1 / Rio de Viento, Inc.|OXY
P&S Project I, LLC|P&S PROJECT I
P66REX LLC|PHILLIPS 66
PACIFIC GAS & ELECTRIC CO|PACIFIC GAS & ELECTRIC
PANHANDLE EASTERN PIPE LINE CO|PANHANDLE EASTERN PIPE LINE
PARADIGM ENERGY PARTNERS LLC|PARADIGM ENERGY PARTNERS
PARADOX RESOURCES LLC|PARADOX RESOURCES
PARALLEL ENERGY LP|PARALLEL ENERGY
PARALLEL PETROLEUM, LLC|PARALLEL PETROLEUM
PARSLEY ENERGY INC|PARSLEY ENERGY
PATARA OIL & GAS LLC|PATARA OIL & GAS
PAXTON RESOURCES|PAXTON RESOURCES
PDC ENERGY INC|PDC ENERGY
PDC Energy, INC|PDC ENERGY
