RANK|STANDARD_COMPANY_NAME|SECTOR|GHG_CONTRIBUTION
405|SAGA PETROLEUM|Upstream|357775.0
406|ENVEN ENERGY VENTURES|Upstream|355832.0
407|PACIFIC ENERGY ALASKA OPERATING|Upstream|350098.07699999993
408|SBM OFFSHORE|Upstream|349144.0
409|TGGT HOLDINGS|Midstream|348881.0
410|ACADIAN GAS PIPELINE SYSTEM|Midstream|347202.0
411|THE SINCLAIR COS|Upstream|342543.0
412|SCOUT ENERGY MANAGEMENT|Midstream|334265.0
413|SILVERBACK MIDSTREAM|Midstream|331217.00000000006
414|NINE POINT ENERGY HOLDINGS|Upstream|327900.0
415|ELM RIDGE EXPLORATION COMPANY|Upstream|327491.0
416|TRISTREAM ENERGY|Midstream|317633.0
417|SHERIDAN PRODUCTION COMPANY|Upstream|317205.0
418|BENEDUM GAS PARTNERS|Midstream|314292.0
419|ROCKCLIFF ENERGY II|Upstream|313584.0
420|EQUAL ENERGY|Upstream|312740.0
421|SEQUITUR EAST TEXAS|Upstream|311042.0
422|BC OPERATING|Upstream|304880.0
423|WEC ENERGY GROUP|Midstream|303953.0
424|J-W OPERATING|Upstream|302101.0
425|LE NORMAN OPERATING|Upstream|301253.0
426|LEGACY RESERVES OPERATING|Midstream|298606.77999999997
427|MARLIN MIDSTREAM|Midstream|297115.0
428|URBAN OIL & GAS GROUP|Upstream|296485.0
429|MEDUSA SPAR|Upstream|295957.5
430|WARREN RESOURCES|Midstream|295065.0
431|NAFTEX OPERATING|Upstream|291305.0
432|REM|Upstream|291239.0
433|LAREDO PETROLEUM|Midstream|284587.0
434|WILDCAT MIDSTREAM CADDO|Midstream|283956.0
435|HIGHPOINT RESOURCES|Upstream|281596.0
436|PARALLEL ENERGY|Upstream|278342.0
437|ENDURING RESOURCES|Upstream|277174.0
438|ZENERGY|Upstream|276584.0
439|MOUNTAINEER KEYSTONE|Upstream|276232.0
440|SANDRIDGE ENERGY|Midstream|275776.0
441|LARAMIE ENERGY|Midstream|274816.0
442|FOUR WINDS MIDSTREAM|Midstream|273878.0
443|ANKOR ENERGY|Upstream|273535.0
444|ASRCEX|Upstream|267575.75
445|ROAN RESOURCES|Upstream|267107.0
446|MIDDLE FORK ENERGY PARTNERS|Upstream|265732.0
447|GENERAL ELECTRIC|Midstream|265721.5
448|ERG RESOURCES|Upstream|262910.0
449|LUFF EXPLORATION|Upstream|259951.0
450|ATP OIL & GAS|Upstream|259681.0
451|ABRAXAS PETROLEUM|Upstream|258507.0
452|TRC CYPRESS GROUP|Upstream|250125.0
453|ARROWHEAD PIPELINE|Midstream|249596.0
454|MONARCH NATURAL GAS|Midstream|247841.0
455|BAYSWATER EXPLORATION & PRODUCTION|Upstream|244552.0
456|QUANTUM RESOURCES MANAGEMENT|Upstream|234685.0
457|WARD PETROLEUM|Upstream|233857.0
458|CANTIUM|Upstream|231721.0
459|DURANGO MIDSTREAM|Midstream|230928.0
460|COOK INLET ENERGY|Upstream|230005.0
461|FIML NATURAL RESOURCES|Upstream|229052.0
462|COGENT MIDSTREAM WESTEX|Midstream|228194.0
463|GRADE 6 OIL|Upstream|227737.0
464|TALCO MIDSTREAM ASSETS|Midstream|227717.0
465|MUREX PETROLEUM|Upstream|227501.0
466|SUNDANCE ENERGY|Upstream|227420.0
467|WHITE STAR PETROLEUM|Upstream|226390.0
468|MUNICIPAL LIGHT & POWER|Upstream|224239.86899999998
469|ARD OPERATING|Midstream|222909.0
470|RSP PERMIAN|Upstream|222509.0
471|PXP OFFSHORE|Upstream|220631.26799999998
472|PER MANAGER|Upstream|220016.0
473|MONCRIEF PARTNERS|Midstream|217099.79681589
474|ZPZ DELAWARE I|Midstream|213654.82000000004
475|MAVERICK NATURAL RESOURCES|Upstream|211565.0
476|PENNSYLVANIA GENERAL ENERGY COMPANY|Midstream|211138.0
477|SK PLYMOUTH|Upstream|211046.0
478|GASCO ENERGY|Upstream|210182.0
479|SHD OIL & GAS|Upstream|209040.0
480|BADLANDS ENERGY|Upstream|207192.0
481|J CLEO THOMPSON & JAMES CLEO THOMPSON JR|Upstream|206697.0
482|NHIP II BISON HOLDINGS|Midstream|201866.0
483|BOC 220 GULF COAST BASIN ONSHORE|Upstream|201519.0
484|NOBLE MIDSTREAM SERVICES|Midstream|201050.0
485|REPSOL OIL & GAS USA|Upstream|200181.0
486|URBAN OIL & GAS GROUP|Midstream|198137.0
487|ENERGY RESOURCE TECHNOLOGY|Upstream|197905.0
488|PETRO-HUNT|Midstream|196825.97591900002
489|KASH OIL & GAS - BASIN 220|Upstream|194724.0
490|CALLON PETROLEUM|Midstream|191239.0
491|EGAN HUB STORAGE|Midstream|190001.0
492|VAQUERO PERMIAN GATHERING|Midstream|186582.0
493|CORE APPALACHIA OPERATING|Midstream|186249.0
494|MARUBENI INTERNATIONAL|Midstream|186239.403
495|LOUIS DREYFUS CORP|Midstream|186039.2646
496|CARBON NATURAL GAS|Midstream|183584.0
497|NEWARK E&P OPERATING|Upstream|183395.0
498|BRAVO NATURAL RESOURCES|Upstream|182938.0
499|MACQUARIE INFRASTRUCTURE CO|Midstream|182755.0
500|BBX OPERATING|Upstream|182476.0
501|MANTI EXPLORATION OPERATING|Upstream|182312.0
502|BLACK BEAR MIDSTREAM HOLDINGS|Midstream|181475.0
503|NBL MIDSTREAM HOLDINGS|Midstream|180447.0
504|CROWHEART ENERGY|Upstream|179098.0
505|TIMBER CREEK OPERATING|Midstream|176698.0
506|SILVERBOW RESOURCES|Upstream|175776.0
507|NAVAJO NATION OIL AND GAS|Upstream|175145.0
508|GDF SUEZ ENERGY NA|Midstream|175117.0
509|EXTERRAN HOLDINGS|Midstream|174802.0
510|LP 224|Midstream|174400.42787568003
511|WPX ENERGY|Midstream|173596.0
512|PATARA OIL & GAS|Upstream|173577.0
513|GULF PINE ENERGY OPERATING|Upstream|172264.0
514|OASIS PETROLEUM|Midstream|172226.0
515|NON-EXXONMOBIL INTERESTS|Midstream|169327.55
516|CORDILLERA ENERGY PARTNERS III|Upstream|167059.0
517|SEQUITUR EAST TEXAS|Midstream|166760.0
518|RICE ENERGY|Midstream|165693.0
519|STERLING ENERGY GROUP|Midstream|164514.0
520|COMPASS PRODUCTION PARTNERS|Midstream|164151.0
521|JAY-BEE OIL & GAS|Midstream|163447.0
522|DJ RESOURCES|Upstream|162986.0
523|NATIONAL GRID USA|Midstream|162925.6125
524|TRANSCANDA/COLUMBIA PIPELINE GROUP|Midstream|162777.0
525|MCELVAIN ENERGY|Upstream|162262.0
526|VERDUN OIL|Midstream|162253.0
527|REM|Midstream|162049.0
528|XTO ENERGY|Midstream|161516.81000000003
529|HOLMES WESTERN OIL|Upstream|160884.0
530|PLAINS NATURAL GAS STORAGE|Midstream|159316.0
531|JAY-BEE OIL & GAS|Upstream|158764.0
532|CAELUS ENERGY|Upstream|158593.40000000002
533|ALPHA NATURAL RESOURCES|Upstream|158075.0
534|GULFTEX ENERGY III|Upstream|157641.0
535|NEWFIELD EXPLORATION|Midstream|157073.0
536|SYNERGY RESOURCES|Upstream|156345.0
537|LONESTAR RESOURCES|Upstream|155602.0
538|ROSEWOOD RESOURCES|Upstream|154174.0
539|ALTA MESA SERVICES|Midstream|151997.0
540|OXY|Midstream|150977.38365328003
541|LAMBDA ENERGY RESOURCES|Midstream|150771.0
542|COSTAR MIDSTREAM|Midstream|150744.0
543|CARDINAL MIDSTREAM|Midstream|148482.4
544|FASKEN OIL AND RANCH|Upstream|148446.0
545|ARD OPERATING|Upstream|147135.0
546|TENRGYS|Midstream|146463.0
547|PATARA OIL & GAS|Midstream|146433.0
548|TEP REX HOLDINGS|Midstream|145850.25
549|CMO|Upstream|145663.0
550|TECPETROL|Upstream|145635.0
551|KOCH INDUSTRIES|Midstream|144612.0
552|PINTAIL OIL & GAS|Upstream|144330.0
553|BONANZA CREEK ENERGY|Midstream|143820.0
554|NUEVO MIDSTREAM|Midstream|142742.0
555|BENNU OIL & GAS|Upstream|141492.0
556|SOUTHERN CO GAS|Midstream|140929.0
557|LAMBDA ENERGY RESOURCES|Upstream|139697.0
558|AGAVE ENERGY HOLDINGS|Midstream|139012.0
559|LONGFELLOW ENERGY|Upstream|138974.0
560|EAGLE ROCK ENERGY PARTNERS|Upstream|137601.0
561|DUGAN PRODUCTION|Midstream|137249.0
562|CRIMSON RESOURCE MANAGEMENT|Midstream|136738.0
563|RESOURCE ENERGY|Upstream|136631.0
564|SAMSON RESOURCES|Midstream|135957.0
565|INERGY WEST COAST|Midstream|135767.0
566|SK E&P|Upstream|134639.0
567|BLACK HILLS|Midstream|133756.0
568|TOMPC|Midstream|133478.0
569|ROCKCLIFF ENERGY II|Midstream|133454.0
570|WHITE OAK ENERGY|Midstream|132796.0
571|BLACK HILLS|Upstream|130564.0
572|TEXAS KEYSTONE|Upstream|130224.0
573|NGL VENTURES|Midstream|129814.82200000004
574|MAGNUM HUNTER RESOURCES|Upstream|129018.0
575|NISKA GAS STORAGE|Midstream|128641.0
576|BRAZOS MIDSTREAM|Midstream|128046.0
577|PLAINS LPG SERVICES|Midstream|124408.0
578|WOODFORD EXPRESS|Midstream|123544.0
579|KEY PRODUCTION|Upstream|122304.0
580|NORTHERN PIPELINE BORDER|Midstream|120428.0
581|DART OIL & GAS|Midstream|119328.0
582|CARRERA GAS GATHERING|Midstream|118431.5
583|SK NEMAHA|Upstream|118070.0
584|ENDURING RESOURCES|Midstream|116915.0
585|EAGLE PETROLEUM|Upstream|116802.0
586|SHORELINE ENERGY|Upstream|116406.0
587|CATARINA MIDSTREAM|Midstream|115874.0
588|PANTHER ENERGY|Upstream|115287.0
589|RISE ENERGY PARTNERS|Upstream|114684.0
590|YATES PETROLEUM|Midstream|114267.0
591|IPR-GDF SUEZ NORTH AMERICA|Midstream|113622.0
592|ENGIE NORTH AMERICA|Midstream|113074.0
593|CAERUS OIL AND GAS|Midstream|112767.0
594|FOUNDATION ENERGY|Midstream|112660.0
595|PEAK EXPLORATION & PRODUCTION|Upstream|110353.0
596|GENESIS ENERGY|Upstream|110180.0
597|PDC ENERGY|Midstream|108897.0
598|ENRIDGE|Midstream|107886.0
599|AMERICAN EAGLE ENERGY|Upstream|106917.0
600|EXCO RESOURCES|Midstream|105156.0
601|AIRCRAFT SERVICES CORPORATION (GE ENTITY)|Midstream|105075.00000000001
602|SAGE NATURAL RESOURCES|Upstream|101677.0
603|TAPSTONE ENERGY|Midstream|100377.0
604|MOON HINES TIGRETT OPERATING COMPANY|Upstream|100123.0
605|ELK PETROLEUM MADDEN GAS & CO2|Midstream|100024.40671595001
606|S2 ENERGY OPERATING|Upstream|99678.0
607|AKIN BEENE RESOURCES|Upstream|99361.0
608|TANA EXPLORATION CO|Upstream|98807.0
609|TAQA USA|Upstream|98559.0
610|SILVER CREEK OIL & GAS|Upstream|97550.0
611|ARSENAL RESOURCES|Midstream|96685.0
612|DESTIN PIPELINE COMPANY|Midstream|96475.0
613|31 GROUP|Midstream|96069.0
614|NORTHEAST NATURAL ENERGY|Upstream|94787.0
615|DIVIDE CREEK GATHERING SYSTEM|Midstream|94527.0
616|ELK PETROLEUM|Upstream|93053.0
617|ROBERTSON-FINLEY RESOURCES|Upstream|92993.0
618|SIGNAL HILL PETROLEUM|Midstream|92898.0
619|EAST TENNESSEE NATURAL GAS|Midstream|92826.0
620|NORTHWESTERN ENERGY|Midstream|92621.0
621|1804|Midstream|92204.0
622|BKV OPERATING|Upstream|91661.0
623|SWG PIPELINE|Midstream|91302.0
624|EDF TRADING RESOURCES|Upstream|89776.0
625|ECLIPSE RESOURCES|Upstream|88100.0
626|VERDAD RESOURCES|Upstream|87415.0
627|BLUECREST ENERGY|Upstream|85614.0
628|BERRY PETROLEUM|Midstream|84816.0
629|PARADOX RESOURCES|Upstream|84264.0
630|MEMORIAL RESOURCE DEVELOPMENT|Midstream|83254.0
631|STANOLIND PRODUCTION|Upstream|83028.0
632|EDGEMARC ENERGY HOLDINGS|Upstream|82837.0
633|SOUTHLAND ROYALTY|Midstream|82583.0
634|KINGFISHER MIDSTREAM|Midstream|81953.0
635|KREWE ENERGY|Upstream|81738.0
636|TEXLAND PETROLEUM|Upstream|81727.0
637|EARTHSTONE OPERATING|Upstream|79221.0
638|JOHNSON AND LINDLEY|Midstream|78438.45000000001
639|HG ENERGY II APPALACHIA|Upstream|78371.0
640|ENTERPRISE PRODUCTS PARTNERS|Upstream|77445.5
641|TEXSTAR MIDSTREAM SERVICES|Midstream|74521.0
642|SENECA RESOURCES|Midstream|74106.0
643|DTE ENERGY|Upstream|74105.0
644|PROSPECT CAPITAL|Midstream|72401.0
645|COOK INLET ENERGY|Midstream|72148.0
646|CATAMOUNT ENERGY PARTNERS|Midstream|71752.0
647|KERR MCGEE GATHERING|Midstream|71627.22
648|DE3 OPERATING|Upstream|71308.0
649|PARADIGM ENERGY PARTNERS|Midstream|70392.0
650|CRESCENT POINT ENERGY US|Midstream|70369.0
651|SANCHEZ OIL AND GAS|Midstream|70260.0
652|CARRERA GAS GATHERING|Upstream|69535.0
653|UTICA GAS SERVICES|Midstream|69045.68000000001
654|RESOURCE STRATEGIES|Midstream|68544.14008698
655|WALTER OIL & GAS|Upstream|67629.0
656|MARUBENI INTERNATIONAL|Upstream|67390.375
657|HINKLE OIL & GAS|Upstream|67112.0
658|CHISHOLM ENERGY OPERATING|Upstream|66846.0
659|PORT PARRE INVESTMENTS, LLC D/B/A BOBCAT GAS STORA|Midstream|66344.0
660|WOLD ENERGY PARTNERS|Upstream|65879.0
661|VENADO OPERATING CO|Upstream|65063.0
662|LEED PETROLEUM|Midstream|62754.3296
663|RANCH WESTEX JV|Midstream|62507.0
664|DGP TAURUS FIELD SERVICES|Midstream|61529.0
665|STARTEX FIELD SERVICES|Midstream|59546.0
666|PILLSBURY, WINTHROP, SHAW, PITTMAN|Midstream|59075.100000000006
667|RANGE RESOURCES|Midstream|58983.0
668|EPIC MIDSTREAM|Midstream|58612.0
669|WARREN RESOURCES|Upstream|58343.0
670|PEAK POWDER RIVER RESOURCES|Upstream|57338.0
671|CROWN ENERGY PARTNERS|Upstream|57140.0
672|ALLIANCE PETROLEUM|Upstream|56721.0
673|E&B NATURAL RESOURCES|Upstream|56472.0
674|RUDY RESOURCES|Midstream|56428.500222
675|ROCKALL ENERGY|Upstream|56083.0
676|MARITIMES & NORTHEAST PIPELINE|Midstream|54458.0
677|BRIDGE ENERGY|Upstream|53859.0
678|EQUINOR US HOLDINGS|Midstream|53771.0
679|PARALLEL PETROLEUM|Upstream|53388.0
680|FL RICH GAS SERVICES|Midstream|53307.0
681|SAMUEL GARY JR ASSOCIATES|Upstream|53134.0
682|HENRY RESOURCES|Upstream|53092.0
683|M3 OHIO GATHERING|Midstream|52845.32
684|STINGRAY PIPELINE CO|Midstream|52379.0
685|PENNTEX MIDSTREAM PARTNERS|Midstream|52295.0
686|CARBON NATURAL GAS|Upstream|51727.0
687|TALL OAK MIDSTREAM|Midstream|51066.0
688|ANSCHUTZ EXPLORATION|Upstream|50687.0
689|AMPLIFY ENERGY|Upstream|50260.0
690|CLASSIC HYDROCARBONS|Upstream|50218.0
691|BALLARD PETROLEUM HOLDINGS|Upstream|49170.0
692|VAQUERO PERMIAN PROCESSING|Midstream|48500.0
693|IACX ENERGY|Midstream|48452.0
694|CITATION OIL & GAS|Upstream|47906.0
695|TRIUMPH ENERGY PARTNERS|Upstream|47821.0
696|AUSTRALIS TMS|Upstream|46300.0
697|NORTHWOODS ENERGY|Upstream|45728.0
698|HUNTINGTON ENERGY|Upstream|44243.0
699|BLACKBRUSH O & G|Midstream|42689.0
700|ROCKPOINT GAS STORAGE PARTNERS|Midstream|41939.0
701|EXELON|Midstream|41693.0
702|PER MANAGER|Midstream|41677.188
703|SN EF MAVERICK|Upstream|39710.0
704|PHILIP T SHARPLES TRUST|Midstream|39634.458786
705|EAGLECLAW MISTREAM SERVICES|Midstream|38996.0
706|CABOT|Midstream|38772.0
707|JKLM ENERGY|Upstream|38572.0
708|PORT BARRE INVESTMENTS, LLC D/B/A BOBCAT GAS STORA|Midstream|38104.0
709|MICOAST ENERGY|Midstream|38030.0
710|T-C OIL|Upstream|37831.0
711|PARADOX RESOURCES|Midstream|37683.0
712|ORX RESOURCES|Upstream|37429.0
713|PENSARELI|Midstream|37086.71803434
714|LIME ROCK RESOURCES|Midstream|36483.196500000005
715|RECOIL RESOURCES OPERATING|Upstream|34864.0
716|OWN RESOURCES OPERATING|Upstream|34027.0
717|KOCH INDUSTRIES|Upstream|33964.581999999995
718|ARENA ENERGY|Midstream|32847.9694
719|ANDERSON ENERGY|Upstream|32036.0
720|SCANA|Midstream|31765.0
721|MEDALLION MIDSTREAM 2|Midstream|31727.0
722|MIDSTREAM ENERGY PARTNERS USA|Midstream|31680.0
723|ELK PETROLEUM|Midstream|31492.990543440003
724|MISSION CREEK OPCO|Upstream|31222.0
725|BLUEFIN RESOURCES|Upstream|30878.0
726|SOUTHWEST GAS STORAGE|Midstream|30864.0
727|NORTH BAJA PIPELINE|Midstream|30642.0
728|ERGON|Upstream|30404.0
729|ENI PETROLEUM|Midstream|30151.4943
730|NORTH SHORE E&P|Midstream|29553.0
731|DGP TAURUS FIELD, SERVICES|Midstream|29439.0
732|MAERSK OIL GULF OF MEXICO FOUR|Upstream|29379.65
733|CORE APPALACHIA OPERATING|Upstream|29339.0
734|MARSH OIL & GAS|Upstream|28922.0
735|FELIX ENERGY|Upstream|28214.0
736|STANOLIND PRODUCTION|Midstream|28097.0
737|AXIA ENERGY II|Upstream|27892.0
738|MP GULF OF MEXICO|Upstream|27512.100000000002
739|UNION EXPLORATION PARTNERS|Midstream|27455.019200000006
740|GLOBAL INFRASTRUCTURE PARTNERS - A|Midstream|27270.0
741|HAWKWOOD ENERGY MANAGEMENT, LLC 220|Upstream|27091.0
742|TEXAS COASTAL VENTURES|Upstream|26813.0
743|SOUTHWESTERN PRODUCTION|Upstream|26138.0
744|TEX MONCRIEF EXPLORACOUNT II|Upstream|25816.5
745|JAYNE WRIGHTSMAN|Midstream|25732.360000000008
746|MISSOURI RIVER RESOURCES|Upstream|25724.0
747|WTG|Upstream|25542.0
748|OAK VALLEY OPERATING|Upstream|25157.0
749|WELLS FARGO ENERGY CAPITAL|Midstream|24956.4
750|MLCJR|Upstream|24588.72
751|CGAS PROPERTIES|Midstream|24563.0
752|PRIME OPERATING|Upstream|23706.0
753|GIP-B1 MASTER PTNR|Midstream|22902.5
754|CONFLUENCE DJ|Upstream|21401.0
755|RIM OPERATING|Upstream|20988.0
756|FPL GROUP|Midstream|19760.0
757|UTAH GAS|Midstream|19447.0
758|CROWHEART ENERGY|Midstream|19077.0
759|CAMBRIAN MANAGEMENT|Upstream|18910.0
760|KKR|Midstream|16945.0
761|WINFIELD RESOURCES|Midstream|16554.412000000004
762|RICOCHET ENERGY|Upstream|15943.0
763|CELERO ENERGY II|Upstream|15667.0
764|WA MONCRIEF JR|Upstream|15372.000000000002
765|COSTARMIDSTREAM|Midstream|14962.0
766|MANAGER GLOBAL MARKET DEVELOPMENT, GAS AND POWER MAR|Midstream|14853.168000000001
767|BEACON WEST ENERGY GROUP|Upstream|13560.0
768|TERRA ENERGY PARTNERS|Midstream|13441.0
769|HARVEST ENERGY|Upstream|13427.858
770|SHARPLES ASSOCIATES|Midstream|13058.768367000002
771|ARP RANGELY PRODUCTION|Midstream|13042.412869200003
772|DABB ENERGY|Midstream|12866.180000000004
773|COLEMAN OIL AND GAS|Upstream|12286.0
774|ARIEL EXPLORATION|Midstream|12262.810000000001
775|MOBIL PRODUCING TEXAS & NEW MEXICO|Midstream|12262.810000000001
776|PETROBAL OMEGA 1|Upstream|11865.0
777|CORTERRA ENERGY|Upstream|11608.0
778|MIDLAND OIL AND GAS|Upstream|9170.0
779|TRUE OIL|Midstream|9073.0
780|ELEANOR WHITCOMB, ROBERT KEADY, & LINDA K. BOYD TRUSTEES|Midstream|8829.747666000001
781|GEO R BROWN PARTNERSHIP|Midstream|8301.552722
782|MMGJ COLORADO|Midstream|7028.6442006
783|TRUNKLINE LNG|Midstream|6737.0
784|BTA|Upstream|6552.0
785|TREY RESOURCES|Upstream|6153.0
786|LYDA HUNT BUNKER TRUST-MARY MORELAND HUNT|Upstream|6121.0
787|OLDHAM FAMILY|Midstream|5967.99
788|ELEANOR WHITCOMB, ROBERT KEADY, & LINDA K BOYD TRUSTEES|Midstream|4949.108715
789|OMIMEX|Midstream|4320.0
790|SOUTHERN NATURAL GAS CO|Midstream|4306.0
791|FUELS ACQUISITION|Midstream|3854.0215000000007
792|BLACK ELK ENERGY OFFSHORE OPERATIONS|Midstream|3194.90517
793|FPL GROUP|Upstream|3069.0
794|S NATURAL GAS CO|Midstream|3064.0
795|CHROMA OPERATING|Upstream|3062.0
796|BEPCO|Upstream|2871.0
797|TRINITY CO2|Upstream|2431.0
798|BERKSHIRE HATHAWAY|Midstream|2378.0
799|MOUNTAINEER GAS HOLDINGS|Midstream|2115.0
800|WTGKS GP|Midstream|1667.2200000000003
801|LANDRETH COMPANY STOCKHOLDERS|Midstream|1229.8
802|TEXAS AMERICAN RESOURCES|Upstream|631.0
803|PUBLIC SERVICE ENTERPRISE GROUP|Midstream|41.0
804|QTL US TERMINAL|Midstream|11.9
805|NORTHERN NEW ENGLAND ENERGY|Midstream|3.0
806|GOLDEN PASS LNG TERMINAL INVESTMENTS|Midstream|2.9920000000000004
807|LIQUEFIED NATURAL GAS|Midstream|0.0
