COMPANY,2011,2012,2013,2014,2015,2016,2017,2018
PEAK EXPLORATION & PRODUCTION,,,,,47081.0,17515.0,13911.0,31846.0
PEAK POWDER RIVER RESOURCES,,,,57338.0,,,,
PEMBINA PIPELINE,,,,,,,308539.0,305634.0
PENN VIRGINIA,2915183.0,351583.0,285998.0,194036.0,113093.0,58328.0,89361.0,73036.0
PENNSYLVANIA GENERAL ENERGY COMPANY,111767.0,100437.0,118632.0,201952.0,88539.0,156858.0,99632.0,138174.0
PENNSYLVANIA LAND RESOURCES HOLDING COMPANY,,,67567.0,71842.0,69208.0,65760.0,50436.0,48377.0
PENNTEX MIDSTREAM PARTNERS,,,,,52295.0,,,
PENSARELI,5249.0,4800.0,5441.0,5186.0,4949.0,4173.0,3699.0,3585.0
PER MANAGER,,,,,,,65349.0,196343.0
PERMIAN BASIN,215068.0,257667.0,248781.0,224783.0,170677.0,126644.0,96482.0,82458.0
PERMIAN RESOURCES,,,,,,173471.0,129735.0,232122.0
PETRO HARVESTER OIL & GAS,,,32096.0,129160.0,99504.0,93895.0,113793.0,45294.0
PETRO-HUNT,239197.0,220617.0,169870.0,952272.0,1187584.0,530532.0,576540.0,930764.0
PETROBAL OMEGA 1,,,,,,,,11865.0
PETROBRAS AMERICA,,45964.0,69044.0,105935.0,90745.0,102314.0,86692.0,69272.0
PHILIP T SHARPLES TRUST,5674.0,6621.0,7011.0,6090.0,3876.0,3836.0,3498.0,3024.0
PHILLIPS 66,101337.0,1595024.0,1467255.0,1355278.0,1474506.0,4058944.0,461527.0,452525.0
"PILLSBURY, WINTHROP, SHAW, PITTMAN",30976.0,27941.0,123.0,34.0,,,,
PINTAIL OIL & GAS,,,,,40819.0,35374.0,23510.0,44627.0
PIONEER NATURAL RESOURCES USA,1303824.0,1066111.0,1122002.0,1304773.0,958685.0,2403660.0,2537110.0,2342641.0
PIPECO,1217488.0,1152100.0,1397105.0,1468081.0,,,,
PLAINS ALL AMERICAN GP,58191.0,65440.0,97272.0,89049.0,142805.0,121043.0,147150.0,295587.0
PLAINS EXPLORATION & PRODUCTION,335385.0,448693.0,64836.0,49052.0,20715.0,103826.0,,
PLAINS LPG SERVICES,,,67293.0,57115.0,,,,
PLAINS NATURAL GAS STORAGE,54412.0,69211.0,15824.0,19869.0,,,,
"PORT BARRE INVESTMENTS, LLC D/B/A BOBCAT GAS STORA",,,,38104.0,,,,
"PORT PARRE INVESTMENTS, LLC D/B/A BOBCAT GAS STORA",28090.0,16433.0,21821.0,,,,,
PREMIER NATURAL RESOURCES,0.0,279561.0,278031.0,287874.0,,,,
PRIME OPERATING,23706.0,,,,,,,
PROSPECT CAPITAL,72401.0,,,,,,,
PRUET PRODUCTION,68814.0,73278.0,105460.0,108153.0,95536.0,125151.0,171910.0,87705.0
PSI MIDSTREAM PARTNERS,114706.0,111663.0,57033.0,49526.0,162752.0,,,
PUBLIC SERVICE ENTERPRISE GROUP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
PVR MIDSTREAM,246907.0,190355.0,273940.0,,,,,
PXP OFFSHORE,,32699.0,31507.0,32980.0,34183.0,32752.0,27295.0,29213.0
QEP RESOURCES,1845588.0,1886376.0,2134862.0,2146723.0,1823280.0,1458602.0,1152374.0,986869.0
QTL US TERMINAL,,,,,11.0,,,
QUANTUM RESOURCES MANAGEMENT,307378.0,331577.0,366371.0,14140.0,13494.0,11377.0,10087.0,9775.0
QUESTAR,762675.0,685398.0,672946.0,670873.0,570962.0,587180.0,,
QUICKSILVER RESOURCES,45690.0,124224.0,94480.0,40971.0,73886.0,,,
RANCH WESTEX JV,,,31042.0,31465.0,,,,
RANGE RESOURCES,273786.0,213078.0,178219.0,138580.0,280829.0,149049.0,335535.0,453198.0
RECOIL RESOURCES OPERATING,,,,,,,,34864.0
REGENCY ENERGY PARTNERS,778928.0,686506.0,604790.0,1142294.0,1328555.0,1096833.0,958476.0,965768.0
REM,,,,,,453288.0,,
REPSOL OIL & GAS USA,,,,,,343301.0,367260.0,365522.0
RESOLUTE ENERGY,244095.0,157075.0,121770.0,52636.0,131120.0,101253.0,99739.0,377225.0
RESOURCE ENERGY,,,,,,56264.0,40601.0,39766.0
RESOURCE STRATEGIES,9702.0,8873.0,10057.0,9586.0,9147.0,7712.0,6837.0,6626.0
REX ENERGY OPERATING,179404.0,134199.0,114184.0,138044.0,85598.0,87459.0,81148.0,
RICE ENERGY,,,138564.0,,130816.0,341996.0,,
RICOCHET ENERGY,15943.0,,,,,,,
RIM OPERATING,,,,,,,20988.0,
RISE ENERGY PARTNERS,54678.0,60006.0,,,,,,
RKI,30839.0,46916.0,208870.0,460296.0,,,,
ROAN RESOURCES,,,,,,,,267107.0
ROBERTSON-FINLEY RESOURCES,,,,,,,,92993.0
ROCKALL ENERGY,,,,,,,,56083.0
ROCKCLIFF ENERGY II,,,,,,,,447038.0
ROCKIES EXPRESS HOLDINGS,,305725.0,225952.0,173008.0,186060.0,291700.0,874200.0,764900.0
ROCKPOINT GAS STORAGE PARTNERS,,,,,,,16528.0,25411.0
ROSETTA RESOURCES OPERATING,,,90766.0,46199.0,195092.0,414287.0,465997.0,399844.0
ROSEWOOD RESOURCES,32162.0,23775.0,24637.0,24655.0,24236.0,24709.0,,
ROWDY PIPELINE,,,,,,144445.0,126438.0,112462.0
RSP PERMIAN,,,,,69369.0,74217.0,78923.0,
RUDY RESOURCES,7987.0,7304.0,8279.0,7891.0,7530.0,6349.0,5629.0,5455.0
S NATURAL GAS CO,542.0,1016.0,1506.0,,,,,
S2 ENERGY OPERATING,,,,,,,99678.0,
SABINE OIL AND GAS,,,,476787.0,755028.0,463057.0,523964.0,525214.0
SAGA PETROLEUM,,,90714.0,79758.0,93755.0,93548.0,,
SAGE NATURAL RESOURCES,,,,,,,41621.0,60056.0
SAMSON RESOURCES,1702370.0,1855882.0,1643799.0,1388403.0,1052688.0,541297.0,77438.0,62724.0
SAMUEL GARY JR ASSOCIATES,,,,,32060.0,21074.0,,
SAMUEL GARY JR. ASSOCIATES,94458.0,117489.0,110073.0,101620.0,,,,
SANCHEZ OIL AND GAS,60341.0,42729.0,72637.0,171686.0,174776.0,149309.0,124272.0,233706.0
SANDRIDGE ENERGY,829685.0,3672802.0,1424342.0,1462759.0,1625766.0,1106394.0,999344.0,718605.0
SANGUINE GAS EXPLORATION,,18217.0,90481.0,143247.0,160182.0,,,37123.0
SAVANT ALASKA,,52950.0,52325.0,55543.0,28705.0,117981.0,118131.0,130096.0
SBM OFFSHORE,79620.0,80445.0,66594.0,66665.0,55820.0,,,
SCANA,1014.0,36.0,30651.0,12.0,0.0,16.0,18.0,18.0
SCOUT ENERGY MANAGEMENT,,,,,,366249.0,724544.0,1216872.0
SEMGAS,,,,87787.0,61766.0,629338.0,521038.0,528517.0
SEMPRA ENERGY,203496.0,287162.0,266742.0,303331.0,390743.0,135583.0,246903.0,173109.0
SENECA RESOURCES,121855.0,123277.0,170477.0,223915.0,198109.0,131859.0,170767.0,199780.0
SENTINEL PEAK RESOURCES,,,,,,871032.0,905214.0,901092.0
SEQUITUR EAST TEXAS,,,,,57504.0,21088.0,172148.0,227062.0
SHARPLES ASSOCIATES,1869.0,2181.0,2310.0,2006.0,1277.0,1263.0,1152.0,996.0
SHD OIL & GAS,,,,,,91107.0,57234.0,60699.0
SHELL OIL,2279286.0,2244231.0,2258233.0,2039363.0,2297639.0,2696529.0,2831356.0,1824766.0
SHERIDAN PRODUCTION COMAPNY,189537.0,107749.0,32924.0,35361.0,185059.0,170988.0,175899.0,166536.0
SHERIDAN PRODUCTION COMPANY,71232.0,83801.0,92713.0,69459.0,,,,
SHORELINE ENERGY,,,27702.0,39174.0,49530.0,,,
SIGNAL HILL PETROLEUM,,,,,,29368.0,31462.0,32068.0
SILVER CREEK OIL & GAS,,,,,,40144.0,36778.0,20628.0
SILVERBACK MIDSTREAM,,,,,,55079.0,92124.0,184013.0
SILVERBOW RESOURCES,,,,,,,,175776.0
SK E&P,,,,134639.0,,,,
SK NEMAHA,,,,,,,,118070.0
SK PLYMOUTH,,,,,70958.0,48167.0,50162.0,41759.0
SLAWSON COMPANIES,161507.0,178852.0,167842.0,375493.0,274059.0,169154.0,207847.0,410414.0
SM ENERGY,652634.0,736013.0,754509.0,814834.0,648989.0,356418.0,432324.0,599057.0
SN EF MAVERICK,,,,,,,,917568.0
SOUTHCROSS ENERGY,103359.0,67578.0,269244.0,633570.0,553672.0,497875.0,367928.0,314543.0
SOUTHERN CO GAS,,,,,,74.0,64893.0,75962.0
SOUTHERN NATURAL GAS CO,,,,,,,,4306.0
SOUTHERN UNION GAS SERVICES,603121.0,,,,,,,
SOUTHERN UTE INDIAN TRIBE,370363.0,364839.0,325896.0,325949.0,318873.0,660263.0,562036.0,546591.0
SOUTHLAND ROYALTY,,,,,169717.0,336144.0,406870.0,493604.0
SOUTHWEST GAS STORAGE,30864.0,,,,,,,
SOUTHWESTERN ENERGY,1041234.0,1125771.0,1091301.0,1450729.0,1564202.0,1197294.0,3347121.0,413852.0
SOUTHWESTERN PRODUCTION,,,,,,,,26138.0
SPECTRA ENERGY,1879007.0,1826602.0,1687367.0,1562984.0,2882720.0,5796064.0,489555.0,372149.0
SRC ENERGY,,,,,,,190469.0,245753.0
STANOLIND PRODUCTION,,,,,,,,111125.0
STARTEX FIELD SERVICES,,,,,,,25593.0,33953.0
STATOIL,479390.0,839739.0,1389454.0,1073158.0,751933.0,628955.0,729668.0,323085.0
STEPHENS PRODUCTION,1750915.0,1317019.0,1090865.0,279330.0,276771.0,261063.0,261874.0,666602.0
STERLING ENERGY GROUP,,,,,36503.0,43495.0,40175.0,44341.0
STINGRAY PIPELINE CO,,,,10966.0,24638.0,16775.0,,
STONE ENERGY,188570.0,210951.0,220562.0,197763.0,141323.0,125822.0,157328.0,
SUMMIT MIDSTREAM PARTNERS,,,,25654.0,23541.0,396020.0,424940.0,458708.0
SUMMIT PETROLEUM,30329.0,21862.0,22419.0,48543.0,23087.0,72967.0,82700.0,71524.0
SUNDANCE ENERGY,,,62701.0,,,,,164719.0
SUPERIOR PIPELINE,,,234370.0,251026.0,,,,
SURGE OPERATING,,,,,,,,533864.0
SWEPI,,169888.0,266643.0,319884.0,,,,
SWG PIPELINE,,,,,91302.0,,,
SWIFT ENERGY OPERATING,173091.0,207719.0,272474.0,227718.0,281412.0,280942.0,217239.0,
SYNERGY RESOURCES,,,,,61402.0,94943.0,,
T-C OIL,14728.0,13508.0,5675.0,3920.0,,,,
TALCO MIDSTREAM ASSETS,227717.0,,,,,,,
TALISMAN ENERGY USA,300037.0,622886.0,430870.0,271066.0,155605.0,,,
TALL OAK MIDSTREAM,,,,,,,20240.0,30826.0
TALLGRASS ENERGY,,168733.0,178865.0,172591.0,192499.0,184067.0,264941.0,303559.0
TALOS ENERGY,,,,11253.0,29876.0,26835.0,52541.0,326531.0
TANA EXPLORATION CO,,,,,62018.0,36789.0,,
TANOS EXPLORATION II,,,,,224842.0,189308.0,291666.0,313268.0
TAPSTONE ENERGY,,,,25000.0,285411.0,169495.0,349813.0,293061.0
TAQA USA,23756.0,28214.0,38548.0,460.0,6895.0,686.0,,
TARGA RESOURCES,1785376.0,1469321.0,1548662.0,2148241.0,2843397.0,5517271.0,5924004.0,6573751.0
TC PIPELINES,,,,,,1953108.0,2005049.0,933119.0
TECOLOTE ENERGY,,,,,,404705.0,296441.0,336838.0
TECPETROL,,,29207.0,31230.0,25341.0,26595.0,33262.0,
TELLUS ENERGY GROUP,53417.0,64958.0,94746.0,83184.0,75858.0,55480.0,62800.0,46682.0
TEMPLAR ENERGY,,,167323.0,265918.0,357124.0,412622.0,426027.0,437797.0
TENAWA HAVEN PROCESSING,,,,,213944.0,169574.0,151350.0,
TENAWA RESOURCE MANAGEMENT,,,,,,,,488448.0
TENRGYS,,,,,,41699.0,60898.0,43866.0
TEP REX HOLDINGS,,,,,,145850.0,,
TEP ROCKY MOUNTAIN,,,,,,1318558.0,,
TERRA ENERGY PARTNERS,,,,,,,1343932.0,1317204.0
TESORO,,,,140328.0,318845.0,740819.0,,4484.0
TEX MONCRIEF EXPLORACOUNT II,,,,,,,12156.0,13660.0
TEXAS AMERICAN RESOURCES,,,,,,,,631.0
TEXAS COASTAL VENTURES,,,,,,26813.0,,
TEXAS EASTERN TRANSMISSION,1356622.0,796805.0,720144.0,755982.0,,,,
TEXAS KEYSTONE,50133.0,26208.0,16809.0,23977.0,13097.0,,,
TEXAS PETROLEUM INVESTMENT,89450.0,94242.0,103299.0,106174.0,141028.0,170132.0,151552.0,235336.0
TEXLAND PETROLEUM,,,,,,28051.0,27593.0,26083.0
TEXSTAR MIDSTREAM SERVICES,,,31096.0,43425.0,,,,
TGGT HOLDINGS,,348881.0,,0.0,,,,
THE SINCLAIR COS,28698.0,36318.0,22486.0,40694.0,44608.0,26056.0,88221.0,55462.0
THUNDER CREEK GAS SERVICES,229145.0,376669.0,230890.0,185994.0,192792.0,310456.0,314335.0,388391.0
TIMBER CREEK OPERATING,,,,,,,378612.0,217832.0
TOMPC,,,,,,,80640.0,52838.0
TOTAL E&P USA,12647.0,15621.0,14420.0,15959.0,16963.0,16457.0,634340.0,634552.0
TRANSCANADA AMERICAN INVESTMENTS,2232208.0,,,,,,,
TRANSCANADA ENERGY USA,,,,,,146559.0,1088909.0,1772250.0
TRANSCANADA NORTHERN BORDER,,1837939.0,1884956.0,1417322.0,1045055.0,,,
TRANSCANADA/COLUMBIA PIPELINE GROUP,,,,,,852651.0,,
TRANSCANDA/COLUMBIA PIPELINE GROUP,,,,,,162777.0,,
TRC CYPRESS GROUP,41437.0,23892.0,23293.0,27614.0,30050.0,34802.0,34195.0,34842.0
TRENDWELL ENERGY,121569.0,114240.0,113071.0,106502.0,165854.0,116467.0,112385.0,93280.0
TREY RESOURCES,,6153.0,,,,,,
TRIANGLE USA PETROLEUM,,64325.0,214503.0,219770.0,180175.0,239332.0,,
TRINITY CO2,,2320.0,111.0,,,,,
TRISTREAM ENERGY,170638.0,146995.0,,,,,,
TRIUMPH ENERGY PARTNERS,,,,,,,,47821.0
TRUE OIL,,,,,,,4276.0,4797.0
TRUNKLINE GAS,397926.0,,,,,,,
TRUNKLINE LNG,6737.0,,,,,,,
ULTRA PETROLEUM ENERGY,283572.0,160879.0,226674.0,291422.0,352734.0,346753.0,375868.0,361675.0
UNION EXPLORATION PARTNERS,4529.0,4124.0,3779.0,3885.0,3633.0,2713.0,2193.0,2595.0
UNIT,475893.0,710972.0,,,306963.0,674319.0,618302.0,659406.0
UNIT PETROLEUM,,,397808.0,308786.0,352538.0,,,
URBAN OIL & GAS GROUP,,,,120775.0,57102.0,38816.0,109941.0,167988.0
URSA RESOURCES GROUP,,,116256.0,127828.0,147699.0,158638.0,156902.0,122177.0
UTAH GAS,,,,,,,,19447.0
UTICA GAS SERVICES,,,,,,23093.0,26669.0,19283.0
VAL VERDE GAS GATHERING CO,1656408.0,1626172.0,1449151.0,1527537.0,827429.0,762926.0,694776.0,673705.0
VALENCE OPERATING,111890.0,108067.0,152508.0,143482.0,133231.0,149649.0,138853.0,112401.0
VANGUARD NATURAL RESOURCES,446373.0,397581.0,315654.0,379337.0,444341.0,456626.0,428086.0,392419.0
VANTAGE ENERGY,,,,146159.0,123874.0,103749.0,,
VAQUERO PERMIAN GATHERING,,,,,,,71992.0,114590.0
VAQUERO PERMIAN PROCESSING,,,,,,,,48500.0
VECTOR PIPELINE,344757.0,333844.0,299867.0,263189.0,258516.0,112458.0,247514.0,117005.0
VENADO OPERATING CO,,,,,,,,65063.0
VENOCO,191278.0,72190.0,72134.0,71433.0,72118.0,62321.0,52879.0,
VERDAD RESOURCES,,,,,,,,87415.0
VERDUN OIL,,,,,,28259.0,66502.0,67492.0
VERESEN,289067.0,285708.0,299090.0,310764.0,302219.0,296507.0,,
VINE OIL & GAS,,,,49133.0,68374.0,150708.0,150379.0,190501.0
VITRUVIAN EXPLORATION,,,,49008.0,58512.0,49953.0,160730.0,124480.0
W & T OFFSHORE,201550.0,232608.0,229775.0,337528.0,240992.0,239262.0,208467.0,212185.0
WA MONCRIEF JR,276226.0,250812.0,143074.0,108244.0,50085.0,240112.0,220783.0,69514.0
WALTER OIL & GAS,,,,,,,35281.0,32348.0
WARD PETROLEUM,42605.0,43610.0,45442.0,37893.0,16501.0,44298.0,3508.0,
WARREN RESOURCES,,,,26927.0,9138.0,106612.0,136432.0,74299.0
WEC ENERGY GROUP,,,,,73943.0,66764.0,74343.0,88903.0
WELLS FARGO ENERGY CAPITAL,,,,,,,9231.0,15724.0
WEST BAY EXPLORATION,117722.0,158136.0,133406.0,58928.0,49160.0,57487.0,105152.0,55520.0
WEST TEXAS GAS,,,,,,417815.0,51257.0,53407.0
WESTERN REFINING,,,,249767.0,465939.0,8023.0,,
WGR OPERATING,62272.0,,51577.0,356635.0,,,,
WHITE OAK ENERGY,29501.0,47639.0,16196.0,59090.0,157014.0,89805.0,170746.0,155361.0
WHITE ROCK OIL & GAS,,,,,34943.0,76724.0,133301.0,115131.0
WHITE STAR PETROLEUM,,,,,,72150.0,115752.0,38488.0
WHITING OIL AND GAS,592394.0,611830.0,871100.0,2203603.0,2447072.0,1459317.0,1773150.0,2913275.0
WILDCAT MIDSTREAM CADDO,,,47928.0,67574.0,70614.0,97840.0,,
WILDHORSE RESOUCES,223709.0,237689.0,,,,,,
WILDHORSE RESOURCES,,,,,,84167.0,232571.0,197997.0
WILLIAMS,9389094.0,6990798.0,6234089.0,5669428.0,6428270.0,11702910.0,11291678.0,9576416.0
WINFIELD RESOURCES,,,,,,,6123.0,10430.0
WOLD ENERGY PARTNERS,,,,,,6975.0,18934.0,39970.0
WOODFORD EXPRESS,,,,,,37031.0,38695.0,47818.0
WPX ENERGY,,1451440.0,1401980.0,1361368.0,1480942.0,506658.0,1395097.0,2045631.0
WTG,383429.0,498036.0,420033.0,452241.0,402157.0,547865.0,1225895.0,1956375.0
WTGKS GP,,,,,,610.0,517.0,539.0
XTO ENERGY,892071.0,21368.0,25191.0,29284.0,36201.0,30888.0,,
YATES PETROLEUM,781794.0,608644.0,602436.0,411303.0,299706.0,,,
ZENERGY,110890.0,165694.0,,,,,,
ZPZ DELAWARE I,18583.0,21368.0,25191.0,29284.0,36201.0,30888.0,25236.0,26901.0
